namespace,class,method,category,behavior,artifacts,classification,evidence_screenshot,notes
neuron_service,Program,Main,entry_point,"Handles -install and -uninstall; otherwise runs the service","-install; -uninstall; /u; MSExchangeService",confirmed_statically,TurlaNeuron_05_dnSpy_Service_Installer_Configuration.png,Static code does not prove each branch executed
neuron_service,ProjectInstaller,InitializeComponent,service_installation,Configures the Exchange-themed Windows service,"MSExchangeService; Microsoft Exchange Service",confirmed_statically,TurlaNeuron_07_dnSpy_Service_Installer_Configuration.png,Credentials are not hardcoded in the visible installer configuration
neuron_service,ProjectInstaller,serviceInstaller1_AfterInstall,service_installation,Starts the newly installed service,MSExchangeService,confirmed_statically,TurlaNeuron_06_dnSpy_AfterInstall_Automatic_Service_Start.png,Dynamic service installation is documented separately
neuron_service,MSExchangeService,OnStart,service_runtime,Creates the WebServer and cleanup thread then runs the listener,"https://*:443/ews/exchange/; SendResponse; KillOldThread",confirmed_statically,TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png,No inbound request was observed
neuron_service,MSExchangeService,OnStop,service_runtime,Stops the WebServer and aborts the storage thread,"WebServer; storage thread",confirmed_statically,TurlaNeuron_09_dnSpy_Service_OnStop.png,No graceful cleanup beyond these calls is inferred
neuron_service,WebServerUtils,SendResponse,protocol,Parses and validates query-string or request-body fields,"cid; cadataKey; cadata; cadataSig",confirmed_statically,TurlaNeuron_10_dnSpy_SendResponse_Request_Validation.png,No successful external command request was observed
neuron_service,CommandScript,CommandScript,command_processing,"Dispatches command types for shell, file, and configuration operations","cmd.exe; WriteAllBytes; ReadAllBytes; GetConfigAsString; AddConfigAsString; DelConfigAsString",confirmed_statically,TurlaNeuron_12_dnSpy_CommandScript_Type0_Command_Execution.png,Remote use was not observed
neuron_service,Config,FindConfig,registry_configuration,Recursively searches HKCU SOFTWARE and decrypts binary JSON configuration,"HKCU\\SOFTWARE; Connect; URL; LastStart; FirstStart; Interval; SubKey; ValueName",confirmed_statically,TurlaNeuron_16_dnSpy_Config_Registry_Search_and_Decryption.png,Hidden malware configuration was not confirmed dynamically
neuron_service,Config,WriteConfig,registry_configuration,Encrypts JSON configuration and writes it as a binary Registry value,"HKCU\\SOFTWARE\\<SubKey>; REG_BINARY",confirmed_statically,TurlaNeuron_18_dnSpy_Config_Encrypted_Registry_Write.png,Write capability is visible in decompiled code
neuron_service,Crypt,EncryptScript,cryptography,Applies an RC4-style symmetric byte transformation,"two 256-entry arrays; key scheduling; XOR",confirmed_statically,TurlaNeuron_19_dnSpy_RC4_EncryptScript_Implementation.png,The same routine can encrypt or decrypt
neuron_service,Crypt,Encryption,cryptography,Uses embedded public-key RSA encryption and returns Base64 output,"RSACryptoServiceProvider; 1024-bit RSA; exponent 65537; OAEP",supporting_context,TurlaNeuron_19_dnSpy_RC4_EncryptScript_Implementation.png,No private RSA key was recovered and the detailed RSA body is not shown in the indexed screenshot
neuron_service,Storage,KillOldThread,storage,Calls KillOld every 300000 milliseconds,"KillOld; 300000 ms; five minutes",confirmed_statically,TurlaNeuron_20_dnSpy_Storage_Five_Minute_Polling.png,The visible loop repeats indefinitely
neuron_service,Storage,GetPathName,storage,Creates and returns a temporary path derived from Utils.GetKey,"TEMP; Utils.GetKey; C:\\Windows\\Temp\\{MachineGuid}",confirmed_statically,TurlaNeuron_21_dnSpy_Host_Specific_Storage_Path.png,The exact MachineGuid is environmental
