finding_id,category,source,process,operation,artifact,result,classification,confidence,evidence_reference,notes
PCM-001,tool_verification,Laboratory verification,Procmon.exe and Procmon64.exe,Verify Authenticode signatures,Microsoft signatures,Valid signatures recorded,baseline_validated,medium,../noriben/turla_neuron_noriben_analysis.md,Underlying signature output is not retained separately.
PCM-002,tool_verification,Noriben 2.0.4,Procmon64.exe,Select collector,64-bit Process Monitor,Selected and EULA accepted,baseline_validated,medium,../noriben/turla_neuron_noriben_analysis.md,Preserved laboratory context rather than a retained raw log.
PCM-003,baseline_capture,Noriben and Procmon64.exe,cmd.exe,Create file,probe.txt,Harmless baseline file created,baseline_validated,high,../noriben/turla_neuron_noriben_analysis.md,Baseline activity is not malware activity.
PCM-004,baseline_capture,Procmon64.exe,,Capture baseline,Baseline PML,Reported approximately 1.2 MB and usable,baseline_validated,medium,../noriben/turla_neuron_noriben_analysis.md,The baseline PML is not present in the repository for independent revalidation.
PCM-005,baseline_capture,Noriben 2.0.4,,Generate processed outputs,Text CSV timeline and log files,Usable outputs generated,baseline_validated,medium,../noriben/turla_neuron_noriben_analysis.md,The raw baseline outputs are not retained in the repository.
PCM-006,background_activity,Baseline capture,"splunkd.exe, AMAExtHealthMonitor.exe, Explorer.exe, TrustedInstaller.exe, svchost.exe",Record normal activity,Background processes,Expected monitoring and Windows activity,background_noise,medium,../noriben/turla_neuron_noriben_analysis.md,These processes are not classified as Turla Neuron.
PCM-007,malware_execution,Noriben and Procmon64.exe,Microsoft.Exchange.Service.exe,Run controlled installer,-install,Processed timeline retained malware-installation activity,processed_noriben_evidence,high,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,The raw malware-run PML did not retain usable events.
PCM-008,file_activity,Filtered Noriben timeline,Microsoft.Exchange.Service.exe,Create or access,InstallUtil.InstallLog,Installer-related file activity shown,processed_noriben_evidence,medium,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,The filename can occur during legitimate .NET installation.
PCM-009,file_activity,Filtered Noriben timeline,Microsoft.Exchange.Service.exe,Create or access,Microsoft.Exchange.Service.InstallLog,Service installer log activity shown,processed_noriben_evidence,high,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Processed evidence rather than a recovered raw Procmon event.
PCM-010,file_activity,Filtered Noriben timeline,Microsoft.Exchange.Service.exe,Create or access,Microsoft.Exchange.Service.InstallState,Installer state activity shown,processed_noriben_evidence,high,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Processed evidence rather than a recovered raw Procmon event.
PCM-011,registry_activity,Filtered Noriben timeline,Microsoft.Exchange.Service.exe,Write Registry values,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap,"ProxyBypass, IntranetName, UNCAsIntranet and AutoDetect shown",processed_noriben_evidence,medium,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,No pre-execution Registry baseline proves whether values changed or were rewritten.
PCM-012,supporting_service_evidence,Installer log,MSExchangeService,Install service,Microsoft.Exchange.Service.exe,Service successfully installed,supporting_windows_evidence,high,../../screenshots/TurlaNeuron_26_Dynamic_Installer_Log_Service_Success.png,This screenshot is not claimed to come from the raw PML.
PCM-013,supporting_registry_evidence,Service Registry export,MSExchangeService,Create persistence,HKLM\SYSTEM\CurrentControlSet\Services\MSExchangeService,Automatic LocalSystem service configuration,supporting_windows_evidence,high,../../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,This screenshot is not claimed to come from the raw PML.
PCM-014,raw_capture,Handling record,Procmon64.exe,Retain capture,Noriben_22_Jul_26__09_43_979200.pml,976 bytes with recorded SHA-256,corrupted_or_unusable,high,../noriben/turla_neuron_noriben_analysis.md,The PML is absent from the repository and cannot be rehashed here.
PCM-015,recovery_attempt,Procmon64.exe,,Export PML to CSV,Procmon_PML_Reexport.csv,Exit code 0 and approximately 124-byte CSV,evidence_limitation,high,../noriben/turla_neuron_noriben_analysis.md,Successful exit means the export request completed and does not prove source events existed.
PCM-016,recovery_result,Procmon64.exe,,Count exported events,Procmon_PML_Reexport.csv,Zero events,corrupted_or_unusable,high,../noriben/turla_neuron_noriben_analysis.md,GUI inspection also displayed no events; no raw event was recovered.
