event_id,timestamp,source,process,operation,path_or_key,value_or_detail,classification,confidence,evidence_file,notes
NBI-001,,baseline context,cmd.exe,CreateFile,C:\Malware\TurlaNeuron\Dynamic-Analysis\Baseline-Validation\probe.txt,Harmless echo command created probe.txt,baseline_validation,medium,,Baseline raw outputs are not retained in the repository
NBI-002,,baseline context,Noriben and Procmon64.exe,Capture,baseline output set,"Text, CSV, timeline, log, and PML artifacts generated",baseline_validation,medium,,Baseline duration was approximately 15-17 seconds
NBI-003,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,File activity,InstallUtil.InstallLog,Creation or access shown in filtered timeline,malware_file_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,May also occur during legitimate .NET installation
NBI-004,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,File activity,Microsoft.Exchange.Service.InstallLog,Creation or access shown in filtered timeline,malware_file_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Installer artifact
NBI-005,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,File activity,Microsoft.Exchange.Service.InstallState,Creation or access shown in filtered timeline,malware_file_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Supports rollback or uninstall state
NBI-006,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,Registry write,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,1,malware_registry_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Supporting behavior and not a standalone IOC
NBI-007,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,Registry write,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName,1,malware_registry_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Supporting behavior and not a standalone IOC
NBI-008,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,Registry write,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,1,malware_registry_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Supporting behavior and not a standalone IOC
NBI-009,,filtered Noriben timeline,Microsoft.Exchange.Service.exe,Registry write,HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,0,malware_registry_activity,high,TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,No pre-execution Registry export proves the prior value
NBI-010,,installer log,Microsoft.Exchange.Service.exe,Install service,MSExchangeService,Service successfully installed and assembly committed,service_installation,high,TurlaNeuron_26_Dynamic_Installer_Log_Service_Success.png,Confirmed by direct installer evidence rather than Noriben alone
NBI-011,,Registry export,Microsoft.Exchange.Service.exe,Create Event Log source,HKLM\SYSTEM\CurrentControlSet\Services\EventLog\Application\MSExchangeService,Application Event Log source registered,supporting_dynamic_evidence,high,TurlaNeuron_27_Dynamic_MSExchangeService_EventLog_Source.png,No matching Application event was found
NBI-012,,Registry export,services.exe,Configure service,HKLM\SYSTEM\CurrentControlSet\Services\MSExchangeService,"Start=2; ObjectName=LocalSystem; Type=16; ImagePath ends with Microsoft.Exchange.Service.exe",service_installation,high,TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,Direct Registry evidence
NBI-013,,HTTP.sys state,Microsoft.Exchange.Service.exe,Register listener,HTTPS://*:443/EWS/EXCHANGE/,"Active queue; one attached process; zero requests arrived; zero rejected",supporting_dynamic_evidence,high,TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,Local listener is not proof of external communication
NBI-014,2026-07-22T09:43:46,PowerShell file observation,Microsoft.Exchange.Service.exe,Create directory,C:\Windows\Temp\{GUID},MachineGuid-derived LocalSystem storage directory was empty,supporting_dynamic_evidence,high,TurlaNeuron_24_Dynamic_HostSpecific_SYSTEM_Storage_Directory.png,Exact laboratory GUID is not a universal IOC
NBI-015,,PML re-export check,Procmon,Export retained PML,malware-run PML,"976-byte PML produced 124-byte CSV with zero events",evidence_limitation,high,,PML appeared empty truncated or overwritten and was unusable as primary evidence
NBI-016,,baseline background context,splunkd.exe,Background activity,Windows laboratory,Universal Forwarder activity,background_noise,medium,,Not attributed to Turla Neuron
NBI-017,,baseline background context,AMAExtHealthMonitor.exe,Background activity,Windows laboratory,Azure Monitor Agent health-monitor activity,background_noise,medium,,Not attributed to Turla Neuron
NBI-018,,baseline background context,Explorer.exe,Background activity,Windows laboratory,Normal shell and Registry activity,background_noise,medium,,Not attributed to Turla Neuron
NBI-019,,baseline background context,TrustedInstaller.exe,Background activity,Windows laboratory,Windows servicing activity,background_noise,medium,,Not attributed to Turla Neuron
NBI-020,,baseline background context,svchost.exe,Background activity,Windows laboratory,Normal Windows service-host activity,background_noise,medium,,Not attributed to Turla Neuron
NBI-021,,baseline background context,Python and Noriben,Monitoring activity,analysis tooling,Noriben orchestration activity,background_noise,high,,Expected analysis-tool activity
NBI-022,,baseline background context,Procmon64.exe,Monitoring activity,analysis tooling,Process Monitor capture activity,background_noise,high,,Expected analysis-tool activity
