finding_id,category,indicator_type,value,direction,protocol,port,classification,confidence,evidence_reference,notes
NET-001,environment,adapter_state,Ethernet0 Disabled; LinkSpeed 0 bps,not_applicable,,,supporting_context,high,../dynamic/turla_neuron_dynamic_analysis.md,Disabled adapter did not prevent local TCP/IP listener registration.
NET-002,listener,prefix,https://*:443/ews/exchange/,local_listener,https,443,confirmed_statically,high,../../screenshots/TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png,Wildcard local prefix is not a remote destination.
NET-003,listener,uri_path,/ews/exchange/,local_listener,https,443,confirmed_statically,high,../../screenshots/TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png,Correlate with a non-Exchange host and suspicious service.
NET-004,listener,request_handler,WebServerUtils.SendResponse,local_listener,https,443,confirmed_statically,high,../../screenshots/TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png,Static code configuration rather than captured traffic.
NET-005,protocol_field,request_field,cid,inbound,https,443,confirmed_statically,medium,../../screenshots/TurlaNeuron_10_dnSpy_SendResponse_Request_Validation.png,Not observed on the wire.
NET-006,protocol_field,request_field,cadataKey,inbound,https,443,confirmed_statically,medium,../../screenshots/TurlaNeuron_10_dnSpy_SendResponse_Request_Validation.png,Not observed on the wire.
NET-007,protocol_field,request_field,cadata,inbound,https,443,confirmed_statically,medium,../../screenshots/TurlaNeuron_11_dnSpy_Cadata_RC4_Remote_Storage_Command_Channel.png,Not observed on the wire.
NET-008,protocol_field,request_field,cadataSig,inbound,https,443,confirmed_statically,medium,../../screenshots/TurlaNeuron_11_dnSpy_Cadata_RC4_Remote_Storage_Command_Channel.png,Not observed on the wire.
NET-009,protocol_identifier,validation_guid,f2949bab-240a-46ca-a455-6f504367ba7d,inbound,https,443,confirmed_statically,high,../../screenshots/TurlaNeuron_10_dnSpy_SendResponse_Request_Validation.png,Distinctive embedded identifier; no packet carried it during this test.
NET-010,protocol_identifier,fallback_encryption_guid,8d963325-01b8-4671-8e82-d0904275ab06,inbound,https,443,confirmed_statically,high,../../screenshots/TurlaNeuron_11_dnSpy_Cadata_RC4_Remote_Storage_Command_Channel.png,Distinctive embedded identifier; no packet carried it during this test.
NET-011,socket_state,ipv6_listener,[::]:443,local_listener,tcp,443,confirmed_by_socket_state,high,../dynamic/turla_neuron_dynamic_analysis.md,Socket tools attributed the kernel listener to PID 4/System; PID 4 is not malware.
NET-012,socket_state,ipv4_listener,0.0.0.0:443,local_listener,tcp,443,confirmed_by_socket_state,high,../dynamic/turla_neuron_dynamic_analysis.md,Socket tools attributed the kernel listener to PID 4/System; PID 4 is not malware.
NET-013,http_sys,request_queue_state,Active,local_listener,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,One active process was attached.
NET-014,http_sys,service_association,MSExchangeService / Microsoft.Exchange.Service.exe,local_listener,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,HTTP.sys request queue links the kernel socket to the application service.
NET-015,http_sys,registered_url,HTTPS://*:443/EWS/EXCHANGE/,local_listener,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,Capitalization does not change the path meaning.
NET-016,http_sys,requests_arrived,0,not_observed,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,No inbound request reached the queue.
NET-017,http_sys,requests_rejected,0,not_observed,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,No rejected request was recorded.
NET-018,http_sys,cache_hits,0,not_observed,https,443,confirmed_by_http_sys,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,No cache hit was recorded.
NET-019,tls,ssl_certificate_binding,Absent for 0.0.0.0:443,local_listener,https,443,evidence_limitation,medium,../dynamic/turla_neuron_dynamic_analysis.md,Other binding forms were not exhaustively ruled out; no successful TLS session is claimed.
NET-020,http_sys,persistent_url_acl,Neuron-specific reservation not observed,local_listener,https,443,not_observed,medium,../dynamic/turla_neuron_dynamic_analysis.md,Runtime URL registration is distinct from a persistent URL ACL.
NET-021,noriben,network_traffic_section,Empty,not_observed,,,confirmed_by_noriben,high,../noriben/turla_neuron_noriben_analysis.md,Expected under network isolation and consistent with zero HTTP.sys requests.
NET-022,noriben,unique_hosts_section,Empty,not_observed,,,confirmed_by_noriben,high,../noriben/turla_neuron_noriben_analysis.md,No unique remote host was identified.
NET-023,evidence,packet_capture,None available,not_observed,,,evidence_limitation,high,../procmon/turla_neuron_procmon_analysis.md,No PCAP PCAPNG or ETL was found in the repository.
NET-024,not_observed,inbound_request,None,not_observed,https,443,not_observed,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,Requests arrived was zero.
NET-025,not_observed,outbound_connection,None,not_observed,,,not_observed,high,../noriben/turla_neuron_noriben_analysis.md,No external connection was recorded.
NET-026,not_observed,external_c2_ip,None identified,not_observed,,,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,No IP address is available for deployment as a C2 indicator.
NET-027,not_observed,external_c2_domain,None identified,not_observed,,,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,No domain is available for deployment as a C2 indicator.
NET-028,not_observed,dns_lookup,None attributed to malware,not_observed,dns,,not_observed,medium,../noriben/turla_neuron_noriben_analysis.md,No malware-attributed DNS activity was captured.
NET-029,not_observed,tls_session,None,not_observed,tls,443,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,No handshake or encrypted session was captured.
NET-030,not_observed,http_request,None captured,not_observed,https,443,not_observed,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,No request headers or body were collected.
NET-031,not_observed,http_response,None captured,not_observed,https,443,not_observed,high,../../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,No response headers or body were collected.
NET-032,not_observed,attacker_command,None received,not_observed,https,443,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,Command capability is static only.
NET-033,not_observed,file_transfer,None,not_observed,https,443,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,File-transfer capability was not exercised.
NET-034,not_observed,data_exfiltration,None,not_observed,,,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,No data transfer or exfiltration was observed.
NET-035,not_observed,lateral_movement,None,not_observed,,,not_observed,high,../dynamic/turla_neuron_dynamic_analysis.md,The isolated run involved no other systems.
