mapping_id,scope,tactic,technique_id,technique_name,subtechnique,evidence_classification,confidence,dynamic_status,evidence_reference,detection_reference,mitre_url,notes
SAMPLE-001,sample,Persistence | Privilege Escalation,T1543.003,Create or Modify System Process: Windows Service,yes,statically_and_dynamically_confirmed,high,"installed, started, automatic, LocalSystem",../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/dynamic/turla_neuron_dynamic_analysis.md | ../screenshots/TurlaNeuron_26_Dynamic_Installer_Log_Service_Success.png | ../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,../detections/sigma/win_system_turla_neuron_service_install.yml | ../detections/yara/turla_neuron_v2.yar | ../detections/soar/README.md | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1543/003/,The -install branch and Windows artifacts confirm service persistence.
SAMPLE-002,sample,Stealth,T1036.004,Masquerading: Masquerade Task or Service,yes,statically_and_dynamically_confirmed,high,Exchange-themed service identity observed,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/dynamic/turla_neuron_dynamic_analysis.md | ../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,../detections/yara/turla_neuron_v2.yar | ../detections/soar/README.md | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1036/004/,Legitimate-looking Exchange service identity; the name alone is not sufficient.
SAMPLE-003,sample,Execution,T1059.003,Command and Scripting Interpreter: Windows Command Shell,yes,capability_only,high,not exercised through an attacker request,../results/dnspy/turla_neuron_dnspy_analysis.md | ../screenshots/TurlaNeuron_12_dnSpy_CommandScript_Type0_Command_Execution.png | ../screenshots/TurlaNeuron_13_dnSpy_CommandScript_Type0_Execution_and_Output_Capture.png,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1059/003/,cmd.exe /c with redirected stdout/stderr exists in code; no attacker command ran.
SAMPLE-004,sample,Defense Impairment | Persistence,T1112,Modify Registry,no,statically_and_dynamically_confirmed,high,service/Event Log/ZoneMap activity observed; hidden configuration not observed,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/dynamic/turla_neuron_dynamic_analysis.md | ../results/noriben/turla_neuron_noriben_analysis.md | ../screenshots/TurlaNeuron_22_Dynamic_ZoneMap_Registry_Modifications.png | ../screenshots/TurlaNeuron_27_Dynamic_MSExchangeService_EventLog_Source.png | ../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,../detections/sigma/win_system_turla_neuron_service_install.yml | ../detections/soar/README.md | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1112/,"Different Registry activities served persistence, event-source, ZoneMap, and configuration purposes."
SAMPLE-005,sample,Discovery,T1012,Query Registry,no,confirmed_statically,high,not confirmed dynamically,../results/dnspy/turla_neuron_dnspy_analysis.md | ../screenshots/TurlaNeuron_16_dnSpy_Config_Registry_Search_and_Decryption.png,../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1012/,Recursive HKCU\SOFTWARE search and value reads are present in code.
SAMPLE-006,sample,Command and Control,T1071.001,Application Layer Protocol: Web Protocols,yes,statically_and_dynamically_confirmed,high,local listener observed; zero requests; no external session,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/network/turla_neuron_network_analysis.md | ../screenshots/TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png | ../screenshots/TurlaNeuron_25_Dynamic_HTTPsys_EWS_Exchange_URL_Registration.png,../detections/yara/turla_neuron_v2.yar | ../detections/soar/README.md | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1071/001/,"The wildcard HTTPS prefix is local listener configuration, not a remote C2 destination."
SAMPLE-007,sample,Command and Control,T1573.001,Encrypted Channel: Symmetric Cryptography,yes,confirmed_statically,high,no encrypted attacker session captured,../results/dnspy/turla_neuron_dnspy_analysis.md | ../screenshots/TurlaNeuron_19_dnSpy_RC4_EncryptScript_Implementation.png,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1573/001/,RC4-style processing supports encrypted command and response data.
SAMPLE-008,sample,Command and Control,T1573.002,Encrypted Channel: Asymmetric Cryptography,yes,confirmed_statically,high,no RSA session captured,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/reverse-engineering/turla_neuron_reverse_engineering.md,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1573/002/,"Embedded 1024-bit RSA public key, exponent 65537, OAEP; no private key recovered."
SAMPLE-009,sample,Command and Control,T1132.001,Data Encoding: Standard Encoding,yes,confirmed_statically,high,no encoded request observed on wire,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/network/turla_neuron_network_analysis.md,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1132/001/,"Base64 request, response, and file-content processing is present."
SAMPLE-010,sample,Stealth,T1140,Deobfuscate/Decode Files or Information,no,confirmed_statically,high,no attacker payload received,../results/dnspy/turla_neuron_dnspy_analysis.md | ../results/reverse-engineering/turla_neuron_reverse_engineering.md,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1140/,Base64 and RC4-style decoding transform protected input before processing.
SAMPLE-011,sample,Command and Control,T1105,Ingress Tool Transfer,no,capability_only,medium,not observed; no network file transfer,../results/dnspy/turla_neuron_dnspy_analysis.md | ../screenshots/TurlaNeuron_14_dnSpy_CommandScript_Types1_2_File_Transfer.png,../detections/yara/turla_neuron_v2.yar | ../detections/threat-hunting/README.md,https://attack.mitre.org/techniques/T1105/,"Remote protocol file read/write capability exists, but transfer was not exercised."
