event_id,timestamp,phase,source,process_or_service,activity,artifact,value_or_detail,classification,confidence,evidence_reference,notes
DYN-TL-001,2026-07-22T08:55:00-10:00,preparation,VMware,Analysis VM,Created pre-execution snapshot,VM snapshot,Pre-Noriben snapshot,confirmed_by_direct_observation,high,../../screenshots/Pre-Noriben_Turla_Neuron_Snapshot.png,Snapshot time is visible in the screenshot.
DYN-TL-002,,preparation,Laboratory procedure,Analysis VM,Disabled network adapter,Network state,No unrestricted Internet connection,supporting_context,high,../../reports/incident-report.md,Recorded laboratory control; no standalone adapter export is retained.
DYN-TL-003,,preparation,Hash verification,Microsoft.Exchange.Service.exe,Verified sample identity,SHA-256,d1d7a96fcadc137e80ad866c838502713db9cdfe59939342b8e3beacf9c7fe29,supporting_context,high,../static/turla_neuron_static_analysis.md,Static identity check performed before controlled execution.
DYN-TL-004,,preparation,Service query,MSExchangeService,Confirmed service absent before execution,Windows service,No matching service,confirmed_by_direct_observation,medium,../../reports/incident-report.md,The underlying pre-execution command output is not retained separately.
DYN-TL-005,,baseline_validation,Noriben and Procmon,cmd.exe,Completed harmless monitoring baseline,probe.txt,Baseline command created probe.txt and recorded no network traffic,supporting_context,medium,../noriben/turla_neuron_noriben_analysis.md,Baseline activity is not malware activity.
DYN-TL-006,,execution,Controlled laboratory execution,Microsoft.Exchange.Service.exe,Executed sample with -install,Command,C:\Malware\TurlaNeuron\Microsoft.Exchange.Service.exe -install,observed_dynamically,high,../../reports/incident-report.md,The path is laboratory-specific and is not a universal IOC.
DYN-TL-007,,service_installation,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Created or accessed installer log,InstallUtil.InstallLog,.NET installation log activity,confirmed_by_noriben,medium,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,Filtered timeline evidence; the raw PML was unusable.
DYN-TL-008,,service_installation,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Created installer log,Microsoft.Exchange.Service.InstallLog,Service installation record,confirmed_by_noriben,high,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,This filename can also occur during legitimate .NET service installation.
DYN-TL-009,,service_installation,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Created installer state,Microsoft.Exchange.Service.InstallState,Rollback and uninstall state,confirmed_by_noriben,high,../../screenshots/TurlaNeuron_23_Noriben_Filtered_Timeline_Activity.png,This filename requires correlation with the suspicious service and executable.
DYN-TL-010,,service_installation,Installer log,MSExchangeService,Installed service successfully,Installer messages,Installing service; successfully installed; committing assembly,confirmed_by_windows_artifact,high,../../screenshots/TurlaNeuron_26_Dynamic_Installer_Log_Service_Success.png,The installed assembly path shown is specific to the laboratory.
DYN-TL-011,,service_installation,Windows service observation,MSExchangeService,Started installed service,Service state,Running as LocalSystem with Automatic startup,confirmed_by_direct_observation,high,../../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,Runtime status is correlated with the active HTTP.sys queue and service observations.
DYN-TL-012,,persistence,Service Registry export,MSExchangeService,Created service persistence configuration,HKLM\SYSTEM\CurrentControlSet\Services\MSExchangeService,Type=16; Start=2; ImagePath=lab path; DisplayName=Microsoft Exchange Service; ObjectName=LocalSystem; DelayedAutoStart=0,confirmed_by_windows_artifact,high,../../screenshots/TurlaNeuron_28_Dynamic_Service_Registry_Persistence.png,The laboratory ImagePath is not a universal IOC.
DYN-TL-013,,service_installation,Installer log and Registry,MSExchangeService,Registered Application Event Log source,HKLM\SYSTEM\CurrentControlSet\Services\EventLog\Application\MSExchangeService,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\EventLogMessages.dll,confirmed_by_windows_artifact,high,../../screenshots/TurlaNeuron_27_Dynamic_MSExchangeService_EventLog_Source.png,No matching Application events from this source were found.
DYN-TL-014,2026-07-22T09:43:46-10:00,storage_creation,Direct filesystem inspection,MSExchangeService,Created host-specific storage directory,C:\Windows\Temp\{GUID},Observed laboratory directory was empty,confirmed_by_direct_observation,high,../../screenshots/TurlaNeuron_24_Dynamic_HostSpecific_SYSTEM_Storage_Directory.png,Exact laboratory MachineGuid omitted from the generalized artifact.
DYN-TL-015,,registry_activity,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Wrote ZoneMap value,AutoDetect,0,confirmed_by_noriben,medium,../../screenshots/TurlaNeuron_22_Dynamic_ZoneMap_Registry_Modifications.png,No pre-execution Registry export proves whether this was a change or rewrite.
DYN-TL-016,,registry_activity,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Wrote ZoneMap value,IntranetName,1,confirmed_by_noriben,medium,../../screenshots/TurlaNeuron_22_Dynamic_ZoneMap_Registry_Modifications.png,Supporting behavior only; the value can be legitimate.
DYN-TL-017,,registry_activity,Noriben filtered timeline,Microsoft.Exchange.Service.exe,Wrote ZoneMap value,ProxyBypass,1,confirmed_by_noriben,medium,../../screenshots/TurlaNeuron_22_Dynamic_ZoneMap_Registry_Modifications.png,Supporting behavior only; the value can be legitimate.
