function_id,namespace,class,method,stage,responsibility,artifacts,static_classification,dynamic_status,evidence_reference,notes
RE-FN-001,neuron_service,Program,Main,program_entry,"Dispatches -install, -uninstall, or normal service execution","-install; -uninstall; /u; ServiceBase.Run",confirmed_statically,install_branch_observed,../dnspy/turla_neuron_dnspy_analysis.md,Other branches were not dynamically exercised.
RE-FN-002,neuron_service,ProjectInstaller,InitializeComponent,service_installation,Configures the Exchange-themed Windows service,"MSExchangeService; Microsoft Exchange Service; service description",confirmed_statically,observed_dynamically,../../screenshots/TurlaNeuron_07_dnSpy_Service_Installer_Configuration.png,Registry and installer evidence confirm the resulting service.
RE-FN-003,neuron_service,ProjectInstaller,serviceInstaller1_AfterInstall,service_installation,Starts the newly installed service,MSExchangeService,confirmed_statically,observed_dynamically,../../screenshots/TurlaNeuron_06_dnSpy_AfterInstall_Automatic_Service_Start.png,Immediate runtime is corroborated by HTTP.sys state.
RE-FN-004,neuron_service,MSExchangeService,OnStart,service_start,Creates WebServer and storage thread then runs the listener,"https://*:443/ews/exchange/; SendResponse; KillOldThread",confirmed_statically,observed_dynamically,../../screenshots/TurlaNeuron_08_dnSpy_Service_OnStart_HTTPS_Listener.png,Listener and storage directory were dynamically observed.
RE-FN-005,neuron_service,MSExchangeService,OnStop,service_stop,Stops WebServer and aborts storage thread,"WebServer.Stop; Thread.Abort",confirmed_statically,not_exercised,../../screenshots/TurlaNeuron_09_dnSpy_Service_OnStop.png,No cleanup beyond visible calls is inferred.
RE-FN-006,neuron_service,WebServerUtils,SendResponse,request_processing,Parses validates decodes and routes request fields,"cid; cadataKey; cadata; cadataSig",confirmed_statically,not_observed,../../screenshots/TurlaNeuron_10_dnSpy_SendResponse_Request_Validation.png,No request reached the listener.
RE-FN-007,neuron_service,CommandScript,CommandScript,command_dispatch,Dispatches numeric shell file and configuration operations,"cmd.exe; WriteAllBytes; ReadAllBytes; GetConfigAsString; AddConfigAsString; DelConfigAsString",confirmed_statically,not_exercised,../../screenshots/TurlaNeuron_12_dnSpy_CommandScript_Type0_Command_Execution.png,No attacker-delivered command was observed.
RE-FN-008,neuron_service,Config,FindConfig,registry_configuration,Recursively searches HKCU SOFTWARE and decrypts binary JSON configuration,"HKCU\\SOFTWARE; Connect; URL; LastStart; FirstStart; Interval; SubKey; ValueName",confirmed_statically,not_observed,../../screenshots/TurlaNeuron_16_dnSpy_Config_Registry_Search_and_Decryption.png,Exact hidden configuration location was not found dynamically.
RE-FN-009,neuron_service,Config,WriteConfig,registry_configuration,Encrypts JSON and writes a binary Registry value,"HKCU\\SOFTWARE\\<SubKey>; REG_BINARY",confirmed_statically,not_exercised,../../screenshots/TurlaNeuron_18_dnSpy_Config_Encrypted_Registry_Write.png,ZoneMap writes are separate installer behavior and do not prove hidden configuration.
RE-FN-010,neuron_service,Crypt,EncryptScript,cryptography,Applies an RC4-style symmetric byte transformation,"two 256-entry arrays; key scheduling; XOR",confirmed_statically,not_observed_on_wire,../../screenshots/TurlaNeuron_19_dnSpy_RC4_EncryptScript_Implementation.png,No live encrypted session was captured.
RE-FN-011,neuron_service,Crypt,Encryption,cryptography,Performs RSA public-key encryption and returns Base64,"RSACryptoServiceProvider; 1024-bit RSA; exponent 65537; OAEP",supporting_context,not_observed_on_wire,../dnspy/turla_neuron_dnspy_analysis.md,No private key was recovered; detailed RSA body is not shown in the indexed screenshot.
RE-FN-012,neuron_service,Storage,KillOldThread,storage_cleanup,Calls KillOld every 300000 milliseconds,"KillOld; five-minute interval",confirmed_statically,not_exercised,../../screenshots/TurlaNeuron_20_dnSpy_Storage_Five_Minute_Polling.png,Seven-day retention is not promoted as a finding.
RE-FN-013,neuron_service,Storage,GetPathName,host_storage,Creates a temporary directory derived from Utils.GetKey,"C:\\Windows\\Temp\\{MachineGuid}; MSXEWS; TVNYRVdT; .TMP",confirmed_statically,observed_dynamically,../../screenshots/TurlaNeuron_21_dnSpy_Host_Specific_Storage_Path.png,The observed directory was empty and exact MachineGuid is environmental.
